age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,length_of_stay
69,F,Other,Greater than 45,Low,Male,0,-1,1,0,0,1
34,F,African-American,25 - 45,Low,Male,0,-1,3,1,1,10
24,F,African-American,Less than 25,Low,Male,4,-1,4,1,1,1
44,M,Other,25 - 45,Low,Male,0,0,1,0,0,1
41,F,Caucasian,25 - 45,Medium,Male,14,-1,6,1,1,6
43,F,Other,25 - 45,Low,Male,3,-1,4,0,0,1
39,M,Caucasian,25 - 45,Low,Female,0,-1,1,0,0,3
27,F,Caucasian,25 - 45,Low,Male,0,-1,4,0,0,1
23,M,African-American,Less than 25,Medium,Male,3,0,6,1,1,4
37,M,Caucasian,25 - 45,Low,Female,0,0,1,0,0,1
41,F,African-American,25 - 45,Low,Male,0,-1,4,0,0,1
47,F,Caucasian,Greater than 45,Low,Female,1,-20,1,1,1,14
31,F,African-American,25 - 45,Low,Male,7,22,3,1,1,3
37,M,Hispanic,25 - 45,Low,Male,0,0,1,0,0,0
25,F,African-American,25 - 45,High,Male,3,-1,10,0,0,1
31,F,Caucasian,25 - 45,Medium,Male,6,-1,5,1,1,1
31,F,Caucasian,25 - 45,Low,Male,5,-1,3,1,1,1
64,F,African-American,Greater than 45,Medium,Male,13,-1,6,1,1,1
21,F,African-American,Less than 25,High,Male,1,-1,9,1,1,3
27,M,Caucasian,25 - 45,Low,Male,0,0,2,1,1,0
21,F,Caucasian,Less than 25,Low,Female,0,-2,4,0,0,1
24,F,Hispanic,Less than 25,Low,Male,1,0,4,1,1,1
43,M,Caucasian,25 - 45,Low,Male,1,-1,1,0,0,1
32,M,Other,25 - 45,Low,Male,0,-1,3,0,0,2
27,F,African-American,25 - 45,Low,Male,8,-1,3,1,1,17
26,F,African-American,25 - 45,Medium,Male,5,-1,7,1,1,1
33,F,African-American,25 - 45,High,Male,0,0,10,1,1,38
30,F,Caucasian,25 - 45,High,Male,9,0,9,1,1,44
32,F,African-American,25 - 45,High,Male,4,-1,8,1,1,1
55,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,2
49,F,Other,Greater than 45,Low,Male,7,-1,3,1,1,4
